"","species","lat","lon","Pb"
"116","Pyrus bourgaeana",37.503388,-6.675947,1
"117","Pyrus bourgaeana",37.647004,-6.263355,1
"118","Pyrus bourgaeana",37.527412,-6.74591,1
"119","Pyrus bourgaeana",37.365415,-7.236364,1
"120","Pyrus bourgaeana",36.461206,-6.043108,1
"121","Pyrus bourgaeana",37.388533,-6.98335,1
"122","Pyrus bourgaeana",37.406183,-6.983518,1
"123","Pyrus bourgaeana",37.568243,-7.103912,1
"124","Pyrus bourgaeana",37.449181,-6.821561,1
"125","Pyrus bourgaeana",37.452785,-6.840151,1
"126","Pyrus bourgaeana",37.442626,-6.911418,1
"127","Pyrus bourgaeana",37.431478,-6.826059,1
"128","Pyrus bourgaeana",37.71557,-7.238129,1
"129","Pyrus bourgaeana",37.558979,-7.005519,1
"130","Pyrus bourgaeana",37.547233,-7.048253,1
"131","Pyrus bourgaeana",37.559598,-7.023328,1
"132","Pyrus bourgaeana",37.39625,-6.916908,1
"133","Pyrus bourgaeana",36.503587,-5.857806,1
"134","Pyrus bourgaeana",36.497065,-5.844898,1
"135","Pyrus bourgaeana",38.41,-6.53,1
"136","Pyrus bourgaeana",38.87,-6.98,1
"137","Pyrus bourgaeana",38.87,-6.86,1
"138","Pyrus bourgaeana",36.952,-4.432,1
"139","Pyrus bourgaeana",37.388026,-7.303041,1
"140","Pyrus bourgaeana",37.406639,-6.917912,1
"141","Pyrus bourgaeana",37.421537,-6.911178,1
"142","Pyrus bourgaeana",37.498828,-6.921462,1
"143","Pyrus bourgaeana",37.496647,-6.876497,1
"144","Pyrus bourgaeana",37.531643,-6.807918,1
"145","Pyrus bourgaeana",37.53357,-6.80822,1
"146","Pyrus bourgaeana",37.521203,-6.77029,1
"147","Pyrus bourgaeana",37.550342,-6.861482,1
"148","Pyrus bourgaeana",36.945953,-4.430461,1
"149","Pyrus bourgaeana",38.211546,-3.270395,1
"150","Pyrus bourgaeana",38.6,-6.76,1
"151","Pyrus bourgaeana",40.02,-6.12,1
"152","Pyrus bourgaeana",39.5,-5.26,1
"153","Pyrus bourgaeana",38.95,-5.48,1
"154","Pyrus bourgaeana",38.375,-2.445,1
"155","Pyrus bourgaeana",37.397398,-7.267428,1
"156","Pyrus bourgaeana",37.386863,-7.36148,1
"157","Pyrus bourgaeana",37.381722,-7.409174,1
"158","Pyrus bourgaeana",37.394128,-7.417014,1
"159","Pyrus bourgaeana",37.370878,-7.397332,1
"160","Pyrus bourgaeana",37.45122,-7.454638,1
"161","Pyrus bourgaeana",37.475787,-7.454482,1
"162","Pyrus bourgaeana",37.520419,-7.327232,1
"163","Pyrus bourgaeana",37.708534,-7.409981,1
"164","Pyrus bourgaeana",36.959503,-4.480956,1
"165","Pyrus bourgaeana",37.464067,-7.455752,1
"166","Pyrus bourgaeana",37.468949,-7.447624,1
"167","Pyrus bourgaeana",37.700452,-7.438826,1
"168","Pyrus bourgaeana",38.125516,-3.316331,1
"169","Pyrus bourgaeana",38.12778,-3.298109,1
"170","Pyrus bourgaeana",39.68,-6.84,1
"171","Pyrus bourgaeana",38.96,-5.02,1
"172","Pyrus bourgaeana",37.358236,-7.288046,1
"173","Pyrus bourgaeana",37.670667,-7.444085,1
"174","Pyrus bourgaeana",37.405276,-7.172026,1
"175","Pyrus bourgaeana",37.636753,-7.447067,1
"176","Pyrus bourgaeana",37.635217,-6.135249,1
"177","Pyrus bourgaeana",37.485453,-7.456594,1
"178","Pyrus bourgaeana",37.783656,-6.02564,1
"179","Pyrus bourgaeana",37.80097,-6.206867,1
"180","Pyrus bourgaeana",37.794569,-6.202741,1
"181","Pyrus bourgaeana",37.770945,-6.163437,1
"182","Pyrus bourgaeana",37.875538,-6.149335,1
"183","Pyrus bourgaeana",37.838938,-6.128498,1
"184","Pyrus bourgaeana",37.783664,-6.025709,1
"185","Pyrus bourgaeana",37.685804,-6.797227,1
"186","Pyrus bourgaeana",37.65926,-6.810524,1
"187","Pyrus bourgaeana",37.809581,-6.778902,1
"188","Pyrus bourgaeana",37.786667,-6.757132,1
"189","Pyrus bourgaeana",37.801287,-6.682181,1
"190","Pyrus bourgaeana",37.871876,-6.790551,1
