Pb,lon,lat
1,-5.597008,36.227955
1,-4.921531,38.623906
1,-4.490706,38.440855
1,-4.818187,38.337438
1,-5.224728,38.413355
1,-4.706168,38.271054
1,-4.746229,38.522097
1,-5.000646,38.471218
1,-3.704371,40.60235
1,-4.580651,38.342288
1,-4.572779,38.232834
1,-5.004133,38.26896
1,-3.753381,40.699286
1,-4.888752,40.227447
1,-3.88195,40.55232
1,-6.350761,39.705246
1,-6.080697,40.066746
1,-6.07089,38.58756
1,-6.33,38.04
1,-6.661403,37.604414
1,-6.563407,39.239008
1,-6.669942,39.123662
1,-4.58588,36.69913
1,-5.87611,38.88667
1,-5.73,38.63
1,-6.51,37.26
1,-4.92,37.72
1,-5.58,38.47
1,-4.070125,39.884628
1,-6.31,41.39
1,-7.203116,37.53942
1,-7.220235,37.694173
1,-6.589655,37.496531
1,-6.74591,37.527412
1,-6.043108,36.461206
1,-6.98335,37.388533
1,-6.821561,37.449181
1,-5.844898,36.497065
1,-6.98,38.87
1,-6.86,38.87
1,-6.861482,37.550342
1,-4.430461,36.945953
1,-3.270395,38.211546
1,-6.76,38.6
1,-5.26,39.5
1,-5.48,38.95
1,-7.267428,37.397398
1,-7.409174,37.381722
1,-7.327232,37.520419
1,-7.438826,37.700452
1,-6.84,39.68
1,-5.02,38.96
1,-6.070937,37.732361
1,-5.955801,37.771176
1,-7.122424,37.435735
1,-5.793946,37.78684
1,-5.210864,37.844556
1,-5.100596,37.919621
1,-4.651817,38.464742
1,-4.899038,38.529481
1,-5.62,39.76
1,-5.63,39.85
1,-6.74,39.05
1,-6.407214,37.78764
1,-4.455903,38.329139
1,-5.277605,37.738112
1,-2.894642,38.463391
1,-3.00689,38.291856
1,-5.737896,38.056217
1,-6.5,39.4
1,-6.438017,37.67031
1,-5.058,36.853
1,-5.890352,36.916977
1,-6.296703,37.672879
1,-6.98814,37.529941
1,-6.144076,37.594654
1,-4.655,36.877
1,-6.40934,37.152251
1,-4.596073,38.136972
1,-5.385691,37.765811
1,-5.479956,38.337548
1,-5.110654,38.345507
1,-5.065719,38.699445
1,-5.577986,37.693393
1,-3.368845,38.44373
1,-4.732001,38.18197
1,-3.967953,38.109708
1,-2.109,37.778
1,-5.696862,37.735652
1,-6.440676,36.983051
1,-5.988565,37.639224
1,-6.732066,37.783231
1,-6.630018,37.733442
1,-6.88871,37.754902
1,-6.7735,37.694485
1,-6.993441,37.711736
1,-7.079924,37.775004
1,-7.055806,37.943266
1,-6.184374,37.738054
1,-6.64497,37.221873
1,-3.773244,38.381435
1,-3.651102,38.359286
1,-5.283729,38.13945
1,-3.526413,38.321313
1,-3.744623,38.216931
1,-5.131297,38.161337
1,-4.834378,38.226708
1,-4.909902,38.141508
1,-5.518502,37.809021
1,-5.480988,36.982875
1,-4.71,40.11
1,-4.126807,38.333725
1,-3.89,40.39
1,-3.853988,38.152117
1,-5.235,36.759
1,-7.07729,37.248651
1,-4.945219,37.91062
1,-3.954278,38.279345
1,-3.8611,38.4833
1,-6.85,39.14
1,-4.016778,38.361045
1,-6.76,38.51
1,-7.1167,39.35
1,-5.4141,38.6418
1,-4.90721,36.63549
1,-6.914671,37.862793
1,-4,40.687
1,-5.566722,36.041906
1,-7.168954,37.866666
1,-4.573351,38.025513
1,-3.9,38.83
1,-6.87,38.78
1,-4.268884,38.328967
1,-6.738104,38.070446
1,-6.947816,38.087534
1,-6.920037,37.991641
1,-6.649244,37.874291
1,-6.617065,37.996152
1,-5.822775,37.908477
1,-6.278074,37.947907
1,-6.133542,37.839741
1,-6.04512,37.964965
1,-4.78,36.93
1,-6.430574,37.885394
1,-5.556868,37.991383
1,-4.541,40.2243
1,-6.0371,41.8718
1,-5.853447,38.11497
1,-6.5286,41.9374
1,-5.297596,36.273884
1,-4.3086,40.3623
1,-5.157,37.157
1,-4.9672,39.1007
1,-5.298075,37.909165
1,-2.52,38.5
1,-5.4,36.79
1,-3.373,40.771999
1,-5.396359,37.97695
1,-4.42,39.02
1,-5.596,36.518
1,-5.47,38.51
1,-4.41,38.05
1,-3.4102,37.8098
1,-5.5,36.16
1,-5.89,37.69
1,-6.1,38.7
1,-6.8,38.3
1,-6.6,38.4
1,-6.6,38.5
1,-6.8,39.4
1,-6.92,42.970001
1,-7,40.27
1,-6.85,40.209999
1,-6.07,40.630001
1,-4.13,38.619999
1,-2.74115844662118,38.6087921901123
1,-3.63116949619607,38.2587766183864
1,-5.29117358347819,36.6187313809849
