Pb,lon,lat
1,-4.680645,38.359392
1,-4.842367,38.431762
1,-5.597008,36.227955
1,-4.490706,38.440855
1,-4.818187,38.337438
1,-4.511603,38.35191
1,-4.706168,38.271054
1,-4.655632,38.143545
1,-4.746229,38.522097
1,-5.000646,38.471218
1,-3.704489,40.602538
1,-5.004133,38.26896
1,-3.753381,40.699286
1,-4.888752,40.227447
1,-3.88195,40.55232
1,-6.350761,39.705246
1,-6.07089,38.58756
1,-7.059347,39.417463
1,-6.33,38.04
1,-6.661403,37.604414
1,-6.520968,39.281483
1,-6.669942,39.123662
1,-4.58588,36.69913
1,-5.87611,38.88667
1,-5.73,38.63
1,-4.92,37.72
1,-5.58,38.47
1,-5.2775,36.4734
1,-4.070125,39.884628
1,-6.31,41.39
1,-7.203116,37.53942
1,-7.261953,37.69367
1,-6.589655,37.496531
1,-6.74591,37.527412
1,-7.236364,37.365415
1,-6.043108,36.461206
1,-6.98335,37.388533
1,-6.826059,37.431478
1,-5.857806,36.503587
1,-6.98,38.87
1,-6.86,38.87
1,-6.861482,37.550342
1,-4.430461,36.945953
1,-6.76,38.6
1,-5.48,38.95
1,-7.397332,37.370878
1,-7.327232,37.520419
1,-7.409981,37.708534
1,-3.316331,38.125516
1,-6.84,39.68
1,-5.02,38.96
1,-6.149335,37.875538
1,-6.810524,37.65926
1,-6.070937,37.732361
1,-7.122424,37.435735
1,-5.942948,37.789392
1,-5.197618,37.85541
1,-5.086983,37.90002
1,-5.837538,38.125861
1,-6.2,38.04
1,-6.77,38.15
1,-4.651817,38.464742
1,-4.899038,38.529481
1,-5.62,39.76
1,-5.63,39.85
1,-6.74,39.05
1,-2.93159,38.338158
1,-5.277605,37.738112
1,-5.737896,38.056217
1,-6.411109,37.656668
1,-5.173381,38.423638
1,-6.5,39.4
1,-6.54,37.59
1,-2.857308,38.475383
1,-5.058,36.853
1,-6.517389,37.718292
1,-5.890352,36.916977
1,-6.296703,37.672879
1,-6.98814,37.529941
1,-6.144076,37.594654
1,-4.655,36.877
1,-4.527054,38.144081
1,-6.40934,37.152251
1,-5.385691,37.765811
1,-3.468222,38.28268
1,-5.479956,38.337548
